position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
603,Tiger Woods PGA Tour 06,X360,EA Sports  ,EA Sports  ,N/A  ,6.9  ,N/A  ,N/A,0.31m,0.28m,0.00m,N/A,0.02m,16th Nov 05  ,N/A
604,Jonah Lomu Rugby Challenge,X360,Mad Catz  ,Sidhe Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.31m,0.09m,0.19m,N/A,0.03m,20th Oct 11  ,N/A
605,TRON: Evolution,X360,Disney Interactive Studios  ,Propaganda Games  ,N/A  ,N/A  ,N/A  ,N/A,0.31m,0.24m,0.05m,N/A,0.02m,07th Dec 10  ,N/A
606,NASCAR 2011: The Game,X360,Activision  ,Eutechnyx  ,N/A  ,6.0  ,N/A  ,N/A,0.31m,0.29m,N/A,N/A,0.02m,29th Mar 11  ,N/A
607,F1 2013,X360,Codemasters  ,Codemasters Birmingham  ,8.0  ,N/A  ,N/A  ,N/A,0.30m,0.01m,0.28m,0.00m,0.02m,08th Oct 13  ,24th May 18
608,Def Jam Rapstar,X360,Konami  ,4mm Games / Terminal Reality  ,N/A  ,7.4  ,N/A  ,N/A,0.30m,0.26m,0.03m,N/A,0.02m,05th Oct 10  ,N/A
609,Battlefield: Hardline,X360,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,0.18m,0.09m,N/A,0.03m,17th Mar 15  ,11th Apr 18
610,Pro Evolution Soccer 2013,X360,Konami Digital Entertainment  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,0.08m,0.20m,N/A,0.03m,25th Sep 12  ,12th Jan 18
611,PowerUp Heroes,X360,Ubisoft  ,Ubisoft  ,N/A  ,4.0  ,N/A  ,N/A,0.30m,0.18m,0.09m,N/A,0.03m,18th Oct 11  ,N/A
612,Magna Carta 2,X360,Namco Bandai  ,SoftMax  ,N/A  ,6.6  ,N/A  ,N/A,0.30m,0.13m,0.07m,0.07m,0.02m,13th Oct 09  ,N/A
613,Terraria,X360,505 Games  ,Engine Software  ,N/A  ,7.8  ,N/A  ,0.30m,N/A,N/A,N/A,N/A,N/A,27th Mar 13  ,19th Mar 18
614,Dynasty Warriors 6,X360,KOEI  ,Omega Force  ,N/A  ,6.2  ,N/A  ,N/A,0.30m,0.15m,0.06m,0.06m,0.02m,19th Feb 08  ,N/A
615,WWE 2K17,X360,2K Games  ,Yuke's  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,0.14m,0.13m,N/A,0.03m,11th Oct 16  ,05th Apr 18
616,Dance Dance Revolution Universe 3,X360,Konami  ,Bemani  ,N/A  ,N/A  ,N/A  ,N/A,0.30m,0.28m,N/A,N/A,0.02m,21st Oct 08  ,N/A
617,Guitar Hero: Van Halen,X360,Activision  ,Neversoft Entertainment  ,N/A  ,6.2  ,N/A  ,N/A,0.30m,0.16m,0.10m,N/A,0.03m,22nd Dec 09  ,N/A
